Algorithm Log
Slots: 10
Courses: 184
Clash File: ute-s-92.stu
Iterations: 1
Shifts: 10
Current Clashes: 4
Slots:
1	0	0
2	1	0
3	2	0
4	0	0
5	1	0
6	3	0
7	2	0
8	0	0
9	0	0
10	0	0
11	0	0
12	1	0
13	1	0
14	3	0
15	1	0
16	1	0
17	1	0
18	2	0
19	4	0
20	5	0
21	0	0
22	0	0
23	1	0
24	2	0
25	2	0
26	3	0
27	9	0
28	9	0
29	2	0
30	0	0
31	0	0
32	0	0
33	3	0
34	0	0
35	1	0
36	1	0
37	2	0
38	1	0
39	4	0
40	4	0
41	9	0
42	5	0
43	1	0
44	0	0
45	0	0
46	9	0
47	3	0
48	2	0
49	4	0
50	5	0
51	0	0
52	1	0
53	2	0
54	3	0
55	4	0
56	0	0
57	2	0
58	2	0
59	3	0
60	5	0
61	6	0
62	4	0
63	0	0
64	1	0
65	4	0
66	2	0
67	2	0
68	0	0
69	0	0
70	1	0
71	2	0
72	3	0
73	4	0
74	1	0
75	0	0
76	0	0
77	4	0
78	0	0
79	2	0
80	3	0
81	1	0
82	2	0
83	1	0
84	9	0
85	0	0
86	7	0
87	2	0
88	0	0
89	1	0
90	3	0
91	5	0
92	7	0
93	5	0
94	6	0
95	8	0
96	9	1
97	9	1
98	9	2
99	4	0
100	6	0
101	1	0
102	9	0
103	2	0
104	1	0
105	9	0
106	0	0
107	1	0
108	8	0
109	6	0
110	0	0
111	9	0
112	2	0
113	4	0
114	0	0
115	3	0
116	1	0
117	4	0
118	6	0
119	9	0
120	2	0
121	0	0
122	3	0
123	4	0
124	9	0
125	9	0
126	9	0
127	1	0
128	9	0
129	2	0
130	3	0
131	2	0
132	3	0
133	2	0
134	1	0
135	9	0
136	5	0
137	2	0
138	3	0
139	3	0
140	1	0
141	1	0
142	3	0
143	9	0
144	9	0
145	3	0
146	4	0
147	9	0
148	5	0
149	1	0
150	0	0
151	0	0
152	6	0
153	7	0
154	4	0
155	9	0
156	9	0
157	5	0
158	3	0
159	4	0
160	9	0
161	7	0
162	0	0
163	5	0
164	9	0
165	3	0
166	9	0
167	9	0
168	7	0
169	0	0
170	9	0
171	9	0
172	2	0
173	3	0
174	9	0
175	4	0
176	0	0
177	9	0
178	2	0
179	4	0
180	8	0
181	0	0
182	9	0
183	9	0
184	9	0

Shift = 10	Min clashes = 1534	at step 1
